Order_ID,Customer_Name,Date,Product,Category,Price,Quantity,Total,Country,Price_New,Quantity_New,Customer_Name_New,Total_New,Date_New
1000,Ali Khan,07/01/2024,Mouse,Electronics, ,,,Pakistan,507.98,1,Ali Khan,507.98,07/01/2024
1001,Usman Ali,29/01/2024,Phone,Electronics,,3,,Pakistan,507.98,3,Usman Ali,1523.94,29/01/2024
1003,Ayesha Noor,24/01/2024,Keyboard,Electronics,,4,,Pakistan,507.98,4,Ayesha Noor,2031.92,24/01/2024
1005,Sara Ahmed,12/01/2024,Phone,Electronics, ,,,Pakistan,507.98,1,Sara Ahmed,507.98,12/01/2024
1006,Ahmed Raza,12/01/2024,Table,Furniture, ,,,Pakistan,507.98,1,Ahmed Raza,507.98,12/01/2024
1007,Ali Khan,28/01/2024,Laptop,Electronics,379.03,-1,,Pakistan,379.03,1,Ali Khan,379.03,28/01/2024
1008,Ayesha Noor,15/01/2024,Keyboard,Electronics, ,,,Pakistan,507.98,1,Ayesha Noor,507.98,15/01/2024
1010,Ali Khan,09/01/2024,Phone,Electronics,,1,,Pakistan,507.98,1,Ali Khan,507.98,09/01/2024
1011,Ayesha Noor,28/01/2024,Chair,Furniture,,,,Pakistan,507.98,1,Ayesha Noor,507.98,28/01/2024
1013,Ahmed Raza,07/01/2024,Monitor,Electronics, ,3,,Pakistan,507.98,3,Ahmed Raza,1523.94,07/01/2024
1014,,04/01/2024,Mouse,Electronics,198.59,-1,,Pakistan,198.59,1,Unknown,198.59,04/01/2024
1016,Bilal Ahmed,29/01/2024,Mouse,Electronics,,,,Pakistan,507.98,1,Bilal Ahmed,507.98,29/01/2024
1017,Ayesha Noor,30/01/2024,Headphones,Electronics,,4,,Pakistan,507.98,4,Ayesha Noor,2031.92,30/01/2024
1018,Sara Ahmed,14/01/2024,Phone,Electronics,,-1,,Pakistan,507.98,1,Sara Ahmed,507.98,14/01/2024
1019,Hina Khan,21/01/2024,Table,Furniture, ,,,Pakistan,507.98,1,Hina Khan,507.98,21/01/2024
1021,Usman Ali,28/01/2024,Mouse,Electronics,158.11,,,Pakistan,158.11,1,Usman Ali,158.11,28/01/2024
